id,artwork_id,engraving_id
42289,280,5
42290,280,8
42291,280,10
42292,280,11
42293,280,16
42294,280,19
91201,281,8
91202,281,15
91203,281,4
91204,281,3
91205,281,19
91206,281,13
42295,282,2
42296,282,4
42297,282,5
42298,282,8
42299,282,16
42300,282,17
42301,283,3
42302,283,4
42303,283,8
42304,283,10
42305,283,15
42306,283,19
44202,284,2
44203,284,4
44204,284,8
44205,284,13
44206,284,16
44207,284,17
42307,285,2
42308,285,4
42309,285,5
42310,285,8
42311,285,10
42312,285,16
42313,285,17
42314,286,2
42315,286,4
42316,286,5
42317,286,8
42318,286,10
42319,286,16
42320,286,17
42321,287,2
42322,287,4
42323,287,8
42324,287,16
42325,287,17
81418,288,8
81419,288,15
81420,288,4
81421,288,3
81422,288,19
42326,289,2
42327,289,4
42328,289,8
42329,289,16
42330,289,17
42331,290,2
42332,290,4
42333,290,8
42334,290,10
42335,290,16
42336,290,17
16895,291,1
16896,291,2
16897,291,5
16898,291,8
16899,291,16
16900,291,19
42337,292,2
42338,292,4
42339,292,8
42340,292,10
42341,292,16
42342,292,19
42343,293,2
42344,293,4
42345,293,8
42346,293,10
42347,293,16
42348,293,19
42349,294,2
42350,294,4
42351,294,8
42352,294,16
42353,294,19
90789,295,8
90790,295,15
90791,295,2
90792,295,10
90793,295,17
90794,295,12
42354,296,2
42355,296,4
42356,296,8
42357,296,10
42358,296,16
42359,296,19
42360,297,2
42361,297,4
42362,297,8
42363,297,16
42364,297,19
42365,298,2
42366,298,4
42367,298,8
42368,298,16
42369,298,19
26597,299,2
26598,299,6
26599,299,8
26600,299,10
26601,299,11
26602,299,14
26603,299,16
26604,299,17
42370,300,2
42371,300,4
42372,300,8
42373,300,16
42374,300,19
42375,301,2
42376,301,4
42377,301,8
42378,301,16
42379,301,19
42380,302,2
42381,302,4
42382,302,5
42383,302,8
42384,302,16
42385,302,19
42386,303,2
42387,303,4
42388,303,5
42389,303,8
42390,303,16
42391,303,19
42392,304,2
42393,304,4
42394,304,6
42395,304,8
42396,304,12
42397,304,16
42398,304,17
92087,305,7
92088,305,8
92089,305,6
92090,305,14
92091,305,2
92092,305,10
92093,305,17
92094,305,13
42399,306,2
42400,306,4
42401,306,5
42402,306,6
42403,306,8
42404,306,12
42405,306,16
42406,306,17
42407,307,2
42408,307,4
42409,307,8
42410,307,16
42411,307,17
43466,308,3
43467,308,4
43468,308,8
43469,308,15
43470,308,19
42412,309,2
42413,309,4
42414,309,8
42415,309,16
42416,309,17
42417,310,2
42418,310,4
42419,310,8
42420,310,16
42421,310,19
52234,311,8
52235,311,9
52236,311,6
52237,311,15
52238,311,14
52239,311,2
52240,311,11
52241,311,17
52242,311,12
42422,312,2
42423,312,4
42424,312,8
42425,312,16
42426,312,19
42427,313,2
42428,313,4
42429,313,5
42430,313,8
42431,313,16
42432,313,19
81423,314,8
81424,314,15
81425,314,14
81426,314,2
81427,314,17
42433,315,2
42434,315,4
42435,315,5
42436,315,8
42437,315,16
42438,315,17
42439,316,2
42440,316,4
42441,316,5
42442,316,8
42443,316,16
42444,316,17
42445,317,2
42446,317,4
42447,317,8
42448,317,10
42449,317,16
42450,317,17
42451,319,2
42452,319,4
42453,319,8
42454,319,10
42455,319,11
42456,319,16
42457,319,17
42458,320,2
42459,320,4
42460,320,5
42461,320,8
42462,320,10
42463,320,11
42464,320,16
42465,320,17
42466,321,2
42467,321,4
42468,321,8
42469,321,9
42470,321,16
42471,321,19
42472,323,2
42473,323,4
42474,323,8
42475,323,16
42476,323,19
42477,324,2
42478,324,4
42479,324,5
42480,324,8
42481,324,16
42482,324,19
10318,325,2
10319,325,6
10320,325,9
10321,325,14
