id,artwork_id,artwork_symbol_id,nombre,
118737,140,404,Cielo / paraíso ,
80665,141,22,Aureola ,
80666,141,66,Cetro ,
80667,141,72,Ciprés,
80668,141,92,Corona,
80669,141,178,Lirio,
80670,141,383,Rosas,
80671,141,418,Palmera,
80679,141,211,Paloma ,
118971,141,404,Cielo / paraíso ,
73146,142,102,Cruz / crucifijo ,
73147,142,102,Cruz / crucifijo ,
73148,142,102,Cruz / crucifijo ,
73149,142,249,Símbolos de la pasión,
73150,142,649,Sepulcro / muerte ,
107905,142,249,Símbolos de la pasión,
129455,142,102,Cruz / crucifijo ,
54229,143,61,Cayado / Bastón ,
54230,143,273,Vela ,
54231,143,142,Flores ,
54232,143,177,Libro ,
54233,143,325,Halo de luz ,
80672,144,22,Aureola ,
80673,144,66,Cetro ,
80674,144,92,Corona,
80675,144,142,Flores ,
80676,144,183,Luna ,
80677,144,124,Esfera / mundo ,
80678,144,211,Paloma ,
118972,144,404,Cielo / paraíso ,
8366,145,22,Aureola ,
29027,146,2,Agua,
29028,146,52,Cántaro,
29029,146,142,Flores ,
106281,146,142,Flores ,
47860,147,102,Cruz / crucifijo ,
47862,147,177,Libro ,
96063,147,27,Báculo,
96064,147,66,Cetro ,
96065,147,86,Corazón ,
96066,147,124,Esfera / mundo ,
96068,147,193,Mitra episcopal,
96069,147,251,Sol,
108854,147,433,Trinidad,
111057,147,4,Alas,
114962,147,27,Báculo,
123374,147,124,Esfera / mundo ,
68686,148,200,Niños,
124044,148,200,Niños,
25679,149,23,Aureola de rayos o luz ,
25680,149,26,Azucenas,
25681,149,183,Luna ,
25682,149,229,Pozo,
25683,149,260,Torre ,
118331,149,404,Cielo / paraíso ,
59545,150,142,Flores ,
106688,150,142,Flores ,
118738,150,404,Cielo / paraíso ,
347,151,46,Copa / Cáliz ,
59302,151,22,Aureola ,
59303,151,46,Copa / Cáliz ,
59304,151,157,Huerto,
20339,152,23,Aureola de rayos o luz ,
20340,152,46,Copa / Cáliz ,
20341,152,247,Serpiente ,
60129,153,61,Cayado / Bastón ,
60130,153,201,Nube,
106691,153,142,Flores ,
20175,154,23,Aureola de rayos o luz ,
20176,154,102,Cruz / crucifijo ,
20177,154,124,Esfera / mundo ,
20178,154,211,Paloma ,
20179,154,133,Estigma ,
20180,154,211,Paloma ,
20182,154,262,Triángulo equilátero ,
20183,154,201,Nube,
108399,154,433,Trinidad,
118064,154,404,Cielo / paraíso ,
27420,155,22,Aureola ,
27421,155,23,Aureola de rayos o luz ,
94701,155,142,Flores ,
94702,155,789,Silla / trono ,
106271,155,142,Flores ,
124389,155,200,Niños,
45410,156,22,Aureola ,
45411,156,54,Capa ,
45412,156,211,Paloma ,
45413,156,251,Sol,
112141,156,251,Sol,
116990,156,54,Capa ,
53202,157,22,Aureola ,
53203,157,102,Cruz / crucifijo ,
53205,157,117,Edificación / iglesia ,
53206,158,46,Copa / Cáliz ,
53207,158,177,Libro ,
105522,158,99,Cráneo,
111605,158,7,Altar,
116548,158,46,Copa / Cáliz ,
122125,158,177,Libro ,
91,159,26,Azucenas,
8977,159,14,Árbol ,
8978,159,22,Aureola ,
8979,159,72,Ciprés,
8980,159,232,Rayo / trueno ,
115950,159,38,Bosque,
120660,159,164,Jardín ,
31190,160,325,Halo de luz ,
31191,160,124,Esfera / mundo ,
31192,160,185,Manto,
23567,161,23,Aureola de rayos o luz ,
72215,162,23,Aureola de rayos o luz ,
72216,162,61,Cayado / Bastón ,
72217,162,89,Cordón ,
72218,162,177,Libro ,
72220,162,239,Rosario ,
72221,162,690,Descalzo,
118917,162,404,Cielo / paraíso ,
1392,163,124,Esfera / mundo ,
5521,163,201,Nube,
99939,163,23,Aureola de rayos o luz ,
99940,163,92,Corona,
99941,163,404,Cielo / paraíso ,
117385,163,404,Cielo / paraíso ,
125334,163,201,Nube,
126720,163,92,Corona,
70112,164,99,Cráneo,
70113,164,102,Cruz / crucifijo ,
70114,164,102,Cruz / crucifijo ,
70115,164,102,Cruz / crucifijo ,
129333,164,102,Cruz / crucifijo ,
108065,165,447,Viacrucis,
