id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
1024,"Cristina, mártir",Francisco Ochoa,,,,,,,,,,,,,"Colección Lombarri-Orihuela (Cuzco, Perú)",,,,,,,,,,
1025,Muerte (Escatología),Robert Dowsing,,,,,,,,,,,,,"Colección Ojeda-Beck (Davis, Estados Unidos)",,,,,,,,,,
1026,Catalina de Bosnia,Francisco de Barrera,,,,,,,,,,,,,Iglesia san José  (Medellín),,,,,,,,,,
1027,Catalina de Suecia,Ricardo do Pilar,,,,,,,,,,,,,Curia arzobispal (Cali),,,,,,,,,,
1028,,Manuel Ribeiro Rosa,,,,,,,,,,,,,"Austin Auction Gallery (Austin, TX)",,,,,,,,,,
1029,,Silvestre de Almeida Lopes,,,,,,,,,,,,,Iglesia y convento del Carmen de San José - Carmen Alto (Quito),,,,,,,,,,
1030,,José Teóphilo de Jesús,,,,,,,,,,,,,Colección Simmonds ,,,,,,,,,,
1031,,Frans Post ,,,,,,,,,,,,,Iglesia museo de santa Clara (Bogotá),,,,,,,,,,
1032,,Albert Eckout,,,,,,,,,,,,,Iglesia de Pucarani (Pucarani),,,,,,,,,,
1033,,José Joaquín Codina,,,,,,,,,,,,,Colección Carlos Manuel Larrea (Quito),,,,,,,,,,
1034,,Caetano da Costa Coelho,,,,,,,,,,,,,Iglesia La Merced (Antigua),,,,,,,,,,
1035,,João Nepomuceno Correia e Castro,,,,,,,,,,,,,Colección Isabel Robalino (Ecuador),,,,,,,,,,
1036,,Francisco Xavier Carneiro,,,,,,,,,,,,,Colección Cruz de Perón (Ecuador),,,,,,,,,,
1037,,Joaquim José da  Natividade,,,,,,,,,,,,,Colección Rodrigo Páez (Ecuador),,,,,,,,,,
1038,,José  Soares de Araújo,,,,,,,,,,,,,Museo de los padres capuchinos (Sevilla),,,,,,,,,,
1039,,Antonio Joaquim Franco,,,,,,,,,,,,,"Banco de los Andes (cierra en el 2006, Quito)",,,,,,,,,,
1040,,Francisco Ortega ,,,,,,,,,,,,,Convento Nuestra Señora del Prado (Lima),,,,,,,,,,
1041,,Jean Baptiste Debret,,,,,,,,,,,,,Museo reducción jesuita Trinidad Itapúa (Trinidad),,,,,,,,,,
1042,,"Juan Correa, hijo",,,,,,,,,,,,,Iglesia san Agustín (Lima),,,,,,,,,,
1043,,José  Martínez,,,,,,,,,,,,,Patrimonio de Chile,,,,,,,,,,
1044,,Lázaro Baldi,,,,,,,,,,,,,Iglesia de Santiago el Mayor (Sevilla),,,,,,,,,,
1045,,Veríssimo de  Freitas,,,,,,,,,,,,,Museo de los Veintiséis Mártires (Nagasaki),,,,,,,,,,
1046,,Pompeo Batoni,,,,,,,,,,,,,Museo Regional de Guadalajara (Guadalajara),,,,,,,,,,
1047,,José Leandro de Carvalho,,,,,,,,,,,,,Iglesia san Sebastián (Querétaro),,,,,,,,,,
1048,,A. Pino,,,,,,,,,,,,,"Colección Vivian y Jaime Liébana (Lima, Perú)",,,,,,,,,,
1049,,José Miguel  Gómez,,,,,,,,,,,,,Iglesia san Lorenzo Diácono y Mártir (Zimatlán de Álvarez),,,,,,,,,,
1050,,José de Arce,,,,,,,,,,,,,Patrimonio de Venezuela ,,,,,,,,,,
1051,,Antonio Rodrigues Belo,,,,,,,,,,,,,Patrimonio de Brasil,,,,,,,,,,
1052,,Lourenço  Veloso,,,,,,,,,,,,,Colección Manuel Gonzáles (CdMx),,,,,,,,,,
1053,,Paolo de Matteis,,,,,,,,,,,,,Iglesia san Francisco de Asís (Chihuahua),,,,,,,,,,
1054,,Paulo Belchior,,,,,,,,,,,,,Colección Santiago Lechuga Andia (Cuzco),,,,,,,,,,
1055,,Bernardo Pires da Silva,,,,,,,,,,,,,Convento y hospital san Juan de Dios (Cuzco),,,,,,,,,,
1056,,Domingos da Costa Filgueiras,,,,,,,,,,,,,Museu de Marinha (Lisboa),,,,,,,,,,
1057,,Francisco Bezerra,,,,,,,,,,,,,"Colección Vera-Olcese (Lima, Perú)",,,,,,,,,,
1058,,Francisco da Silva Romão,,,,,,,,,,,,,Museo del Duomo (Milán),,,,,,,,,,
1059,,Armand Julien Palliere,,,,,,,,,,,,,Colección Mr. and Mrs. Robert J. Patrick (Estados Unidos),,,,,,,,,,
1060,,João Baptista,,,,,,,,,,,,,"The Lilly Library (Universidad de Indiana, Bloomington)",,,,,,,,,,
1061,Carlos II de España,Joaquim Gonçalves da Rocha,,,,,,,,,,,,,"J. Douglas Gay Jr-Frances Carrick Thomas LIbrary (Transilvania, Estados Unidos)",,,,,,,,,,
1062,,José da Costa Andrade,,,,,,,,,,,,,Capilla de la Hacienda Calapuja (Calapuja),,,,,,,,,,
1063,,José Elói,,,,,,,,,,,,,"Iglesia Santiago Apóstol (Caicay, Perú)",,,,,,,,,,
1064,,José Pinhão de Matos,,,,,,,,,,,,,Newcomb Art Museum of Tulane University (Nueva Orleans),,,,,,,,,,
1065,,José Rabelo de Vasconcelos,,,,,,,,,,,,,Iglesia san Miguel (Pitumarca),,,,,,,,,,
